Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		I2		E3		I3		E4		I4		
(ms)		(V)		(A)		(V)		(A)		(V)		(A)		(V)		(A)		
24.707		209.9		0.318		-116.5		-0.011		-101.2		0.002		210.4		0.318		
24.805		211.7		0.304		-110.8		-0.013		-104.7		-0.011		210.9		0.314		
24.902		212.1		0.325		-105.5		0.002		-107.8		0.004		207.4		0.310		
25.000		210.8		0.314		-102.9		0.000		-114.8		-0.006		216.1		0.318		
25.098		213.0		0.310		-95.0		0.000		-122.2		-0.004		213.5		0.318		
25.195		214.3		0.314		-90.6		-0.013		-124.0		0.002		211.7		0.310		
25.293		207.7		0.314		-84.1		-0.013		-128.8		0.002		210.4		0.314		
25.391		213.4		0.318		-80.6		0.008		-128.4		-0.008		213.9		0.310		
25.488		209.9		0.312		-75.3		0.015		-134.1		0.000		210.0		0.308		
25.586		212.5		0.325		-70.5		0.000		-136.3		0.000		212.6		0.306		
25.684		209.5		0.318		-66.6		0.013		-139.8		-0.011		210.9		0.308		
25.781		212.1		0.312		-56.0		-0.015		-147.6		0.011		210.9		0.310		
25.879		209.0		0.299		-53.0		-0.013		-150.7		0.000		207.8		0.314		
25.977		208.1		0.308		-45.1		-0.002		-156.0		-0.004		208.7		0.308		
26.074		202.4		0.302		-35.5		-0.017		-162.5		-0.008		205.2		0.303		
26.172		199.3		0.285		-29.8		-0.011		-163.4		-0.011		197.4		0.295		
26.270		196.7		0.302		-23.6		-0.019		-170.4		-0.004		197.0		0.282		
26.367		190.1		0.283		-16.2		0.006		-171.7		-0.008		188.3		0.276		
26.465		189.7		0.274		-8.3		0.002		-176.6		0.002		183.9		0.276		
26.563		182.2		0.266		-2.2		-0.015		-183.1		-0.008		180.9		0.271		
26.660		178.2		0.253		6.1		-0.002		-186.2		0.004		173.0		0.265		
26.758		173.8		0.259		14.0		-0.002		-190.1		-0.004		171.7		0.256		
26.855		168.1		0.249		21.0		-0.002		-192.8		-0.006		168.3		0.252		
26.953		167.2		0.236		28.9		0.006		-195.0		-0.011		163.0		0.235		
27.051		160.2		0.226		34.2		0.006		-197.6		-0.013		160.0		0.229		
27.148		155.3		0.232		41.6		0.008		-199.3		-0.015		156.5		0.237		
27.246		151.4		0.221		49.0		0.000		-201.5		0.006		153.5		0.233		
27.344		150.1		0.217		56.5		0.006		-202.4		-0.021		146.1		0.231		
27.441		141.7		0.213		63.5		0.004		-204.6		0.000		142.2		0.207		
27.539		139.5		0.209		71.4		-0.006		-207.7		0.002		137.8		0.203		
27.637		133.3		0.196		81.4		0.006		-210.7		-0.004		135.2		0.199		
27.734		132.0		0.192		84.1		0.004		-209.9		-0.004		129.6		0.192		
27.832		125.9		0.179		87.1		-0.002		-212.9		0.000		123.9		0.179		
27.930		123.2		0.171		92.8		0.004		-210.7		-0.002		118.7		0.173		
28.027		116.2		0.175		100.7		0.006		-212.9		-0.006		114.8		0.162		
28.125		112.7		0.162		102.5		-0.002		-216.4		0.006		109.6		0.152		
28.223		106.9		0.139		104.7		0.021		-213.4		0.000		106.5		0.145		
28.320		104.7		-0.011		109.5		0.177		-212.9		-0.017		112.6		0.165		
28.418		99.0		0.002		117.8		0.160		-215.6		-0.017		117.4		0.177		
28.516		93.3		-0.002		123.9		0.190		-215.6		-0.002		122.2		0.177		
28.613		88.0		0.000		125.2		0.192		-215.6		0.006		126.1		0.197		
28.711		83.6		0.000		131.8		0.194		-214.7		-0.013		130.4		0.190		
28.809		77.9		-0.013		130.0		0.192		-215.6		-0.004		136.1		0.201		
28.906		73.0		-0.002		138.4		0.222		-214.7		-0.008		137.8		0.212		
29.004		70.0		-0.013		140.1		0.211		-210.7		-0.011		143.5		0.201		
29.102		62.0		-0.004		144.1		0.220		-209.9		-0.004		146.5		0.212		
29.199		55.0		-0.008		147.6		0.226		-213.4		0.004		147.8		0.229		
29.297		45.8		0.000		151.5		0.220		-213.4		-0.006		151.7		0.222		
29.395		41.8		-0.002		156.3		0.220		-206.4		0.015		155.2		0.241		
29.492		32.1		-0.004		160.3		0.220		-204.2		-0.004		161.3		0.229		
29.590		25.5		-0.004		162.9		0.251		-199.8		-0.002		162.2		0.241		
29.688		21.1		-0.008		169.9		0.245		-191.9		-0.013		166.5		0.250		
29.785		11.9		0.004		172.1		0.258		-190.6		-0.011		173.0		0.256		
29.883		6.6		-0.008		173.0		0.251		-185.3		0.000		174.3		0.254		
29.980		-2.2		0.015		178.7		0.268		-180.9		-0.006		181.7		0.254		
30.078		-10.1		-0.008		182.6		0.266		-176.1		-0.004		184.8		0.265		
30.176		-19.4		0.000		190.0		0.279		-171.7		0.013		188.7		0.276		
30.273		-28.2		0.002		188.3		0.289		-166.9		0.006		194.3		0.282		
30.371		-33.9		-0.011		193.5		0.287		-163.0		-0.011		194.8		0.301		
30.469		-43.1		-0.006		196.2		0.285		-155.5		-0.017		196.1		0.297		
30.566		-47.1		-0.013		198.8		0.291		-155.5		0.006		195.7		0.297		
30.664		-55.9		0.002		200.1		0.310		-147.6		0.011		203.9		0.299		
30.762		-63.8		-0.013		201.0		0.296		-142.8		-0.004		201.7		0.308		
30.859		-72.6		0.000		207.6		0.300		-142.4		0.000		207.4		0.308		
30.957		-76.6		0.004		207.6		0.291		-134.5		-0.004		209.1		0.295		
31.055		-83.6		-0.011		207.1		0.289		-131.0		-0.002		206.5		0.303		
31.152		-87.1		-0.017		208.9		0.308		-127.9		0.000		210.9		0.312		
31.250		-92.0		-0.008		210.6		0.312		-125.7		0.000		209.6		0.301		
31.348		-99.0		0.002		210.2		0.310		-119.2		0.000		209.6		0.306		
31.445		-104.3		-0.002		213.7		0.321		-115.7		-0.008		210.4		0.308		
31.543		-109.1		0.000		215.0		0.321		-103.8		-0.004		210.4		0.306		
31.641		-113.5		-0.011		212.4		0.312		-104.7		0.004		211.3		0.312		
31.738		-120.6		-0.002		212.4		0.315		-99.0		0.004		211.7		0.323		
31.836		-121.0		-0.004		212.4		0.321		-92.0		-0.023		213.0		0.303		
31.934		-125.4		-0.004		215.0		0.310		-90.3		-0.011		213.0		0.327		
32.031		-130.3		-0.004		215.0		0.317		-83.7		-0.011		213.9		0.308		
32.129		-133.3		0.004		212.8		0.315		-78.4		0.002		212.6		0.314		
32.227		-137.3		-0.004		211.5		0.302		-77.5		0.008		212.2		0.316		
32.324		-141.3		-0.015		211.1		0.317		-69.7		-0.008		212.6		0.321		
32.422		-144.3		-0.002		211.5		0.321		-62.2		-0.013		212.2		0.308		
