Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		I2		E3		I3		E4		I4		
(ms)		(V)		(A)		(V)		(A)		(V)		(A)		(V)		(A)		
24.805		211.7		0.316		-108.6		-0.004		-111.3		-0.002		210.9		0.316		
24.902		214.7		0.310		-103.8		0.004		-112.2		-0.004		210.9		0.327		
25.000		213.0		0.321		-101.6		-0.008		-119.6		-0.002		211.3		0.312		
25.098		213.0		0.306		-93.7		0.006		-119.2		-0.002		211.7		0.327		
25.195		212.1		0.321		-87.1		-0.004		-125.7		-0.006		213.9		0.306		
25.293		213.9		0.310		-81.9		-0.011		-131.4		-0.004		213.9		0.318		
25.391		214.7		0.321		-77.5		-0.008		-134.1		-0.011		217.0		0.318		
25.488		213.0		0.310		-73.6		0.004		-137.1		-0.002		214.3		0.316		
25.586		213.9		0.312		-68.3		-0.002		-142.4		-0.006		211.7		0.312		
25.684		213.9		0.316		-61.3		0.004		-146.3		0.004		213.0		0.312		
25.781		211.7		0.316		-52.5		0.004		-150.3		-0.021		208.7		0.308		
25.879		211.2		0.314		-44.7		-0.013		-157.3		-0.002		208.7		0.297		
25.977		210.8		0.297		-37.7		-0.002		-156.4		-0.006		205.2		0.303		
26.074		203.3		0.291		-28.9		0.002		-165.6		0.008		203.0		0.293		
26.172		199.3		0.291		-26.7		-0.011		-166.0		-0.004		198.7		0.301		
26.270		194.5		0.291		-21.9		-0.013		-169.1		-0.006		195.7		0.280		
26.367		191.0		0.276		-14.0		-0.011		-177.0		-0.004		188.7		0.274		
26.465		183.9		0.270		-4.8		-0.002		-182.7		-0.011		182.6		0.269		
26.563		176.9		0.268		4.8		0.002		-184.4		0.002		179.1		0.276		
26.660		177.8		0.264		10.5		0.008		-188.4		0.004		177.4		0.267		
26.758		172.9		0.257		20.1		0.000		-188.8		0.000		171.3		0.263		
26.855		166.8		0.253		26.3		0.000		-194.1		-0.002		165.2		0.244		
26.953		163.3		0.234		34.2		-0.008		-197.6		-0.011		160.4		0.244		
27.051		159.7		0.236		41.2		0.004		-202.0		-0.004		158.7		0.235		
27.148		154.9		0.221		45.5		0.000		-203.3		0.006		153.9		0.235		
27.246		148.7		0.224		56.9		0.015		-203.7		0.000		149.1		0.226		
27.344		147.0		0.221		63.9		0.011		-208.1		0.002		142.6		0.207		
27.441		141.3		0.209		70.9		0.013		-208.1		0.000		139.6		0.212		
27.539		136.4		0.202		74.4		0.011		-209.0		-0.004		134.8		0.201		
27.637		130.7		0.196		79.3		0.000		-212.9		-0.004		128.7		0.188		
27.734		128.1		0.175		87.1		0.002		-213.8		0.000		127.8		0.190		
27.832		125.4		0.181		92.0		0.006		-211.2		-0.008		123.5		0.182		
27.930		119.3		0.177		99.4		-0.006		-211.2		-0.013		117.0		0.177		
28.027		115.3		0.167		103.8		0.011		-212.5		-0.006		112.6		0.173		
28.125		110.9		0.158		107.7		-0.015		-214.2		-0.006		110.9		0.173		
28.223		109.6		0.034		110.3		0.127		-213.4		0.002		107.8		0.162		
28.320		101.2		-0.008		117.4		0.169		-215.1		-0.004		116.5		0.169		
28.418		95.5		-0.002		119.1		0.177		-215.6		-0.008		119.1		0.175		
28.516		92.0		-0.011		126.1		0.192		-215.1		-0.006		126.1		0.188		
28.613		82.3		0.000		128.7		0.198		-212.9		0.006		131.7		0.201		
28.711		82.3		0.002		137.1		0.194		-216.0		-0.002		136.1		0.194		
28.809		75.7		-0.004		137.9		0.198		-212.0		-0.002		138.7		0.197		
28.906		71.3		0.008		137.9		0.207		-215.6		-0.006		141.3		0.205		
29.004		64.7		0.002		143.6		0.215		-213.4		0.002		147.4		0.218		
29.102		57.6		-0.011		148.9		0.222		-212.5		-0.006		151.3		0.222		
29.199		49.3		0.002		154.1		0.222		-214.2		-0.006		151.3		0.224		
29.297		41.8		0.004		156.3		0.243		-208.5		0.000		158.3		0.226		
29.395		33.9		0.008		161.6		0.224		-208.5		0.000		163.5		0.241		
29.492		29.9		-0.006		164.6		0.236		-200.2		0.002		166.5		0.239		
29.590		20.2		-0.002		167.7		0.247		-198.9		-0.004		171.7		0.237		
29.688		14.1		-0.017		173.8		0.253		-194.1		0.008		171.7		0.246		
29.785		7.0		0.013		176.0		0.270		-187.1		-0.006		176.5		0.259		
29.883		0.0		-0.004		183.9		0.270		-183.6		-0.002		180.9		0.263		
29.980		-8.8		-0.002		184.8		0.266		-178.3		0.004		185.7		0.269		
30.078		-18.0		-0.004		187.8		0.287		-173.5		-0.002		187.4		0.297		
30.176		-26.4		0.004		194.4		0.289		-168.2		-0.004		193.0		0.284		
30.273		-32.1		-0.002		194.9		0.281		-165.6		-0.002		198.7		0.303		
30.371		-39.6		-0.004		197.5		0.296		-160.4		-0.004		200.4		0.295		
30.469		-45.8		0.000		199.7		0.289		-156.0		-0.021		200.0		0.295		
30.566		-53.2		-0.004		203.6		0.323		-152.9		-0.002		199.6		0.301		
30.664		-60.3		-0.011		202.3		0.306		-145.0		-0.006		206.1		0.288		
30.762		-67.3		-0.006		206.7		0.298		-142.8		0.008		205.2		0.297		
30.859		-76.6		-0.006		205.8		0.315		-134.9		-0.002		207.0		0.323		
30.957		-82.7		-0.008		207.6		0.312		-132.7		0.000		210.4		0.316		
31.055		-86.2		-0.008		208.4		0.321		-127.9		-0.013		210.0		0.306		
31.152		-94.2		-0.015		211.9		0.321		-121.4		-0.004		209.6		0.306		
31.250		-99.9		-0.006		212.4		0.319		-118.7		-0.008		212.6		0.314		
31.348		-107.4		-0.004		213.7		0.304		-113.0		-0.006		213.0		0.312		
31.445		-106.9		-0.006		216.7		0.302		-106.5		-0.006		211.3		0.312		
31.543		-111.3		-0.008		210.6		0.317		-106.5		-0.015		215.2		0.323		
31.641		-117.1		-0.004		213.7		0.317		-99.5		-0.008		213.9		0.314		
